Currency,Round to nearest,Rates,Charm
KWD,1,0.3180,0.00
BHD,1,0.3942,0.00
OMR,1,0.4025,0.00
JOD,1,0.7413,0.00
GBP,1,0.8364,0.00
FKP,1,0.8613,0.00
GIP,1,0.8613,0.00
KYD,1,0.8716,0.00
USD,1,1.0000,0.00
CHF,1,1.0085,0.00
BMD,1,1.0455,0.00
PAB,1,1.0461,0.00
BSD,1,1.0462,0.00
CAD,1,1.3634,0.00
SHP,1,1.3810,0.00
BND,1,1.4118,0.00
SGD,1,1.4206,0.00
LYD,1,1.4731,0.00
AUD,1,1.5169,0.00
NZD,1,1.6094,0.00
AZN,1,1.7826,0.00
BGN,1,1.8453,0.00
BAM,1,1.8480,0.00
ANG,1,1.8669,0.00
AWG,1,1.8819,0.00
BZD,1,2.1081,0.00
BBD,1,2.1116,0.00
BYN,1,2.1518,0.00
FJD,1,2.2804,0.00
TOP,1,2.4219,0.00
WST,1,2.7911,0.00
XCD,1,2.8256,0.00
TND,1,3.0013,0.00
GEL,1,3.0581,0.00
PEN,1,3.5334,0.00
PGK,1,3.5525,0.00
ILS,1,3.6793,0.00
QAR,1,3.8067,0.00
AED,1,3.8404,0.00
SAR,1,3.9208,0.00
PLN,1,4.1096,0.00
BRL,1,4.2504,0.00
MYR,1,4.3771,0.00
RON,1,4.4525,0.00
GHS,1,5.6997,0.00
TRY,10,6.0253,0.00
DKK,10,6.8965,0.00
HRK,10,6.9746,0.00
TTD,10,7.0816,0.00
BOB,10,7.2345,0.00
CNY,10,7.4061,0.00
GTQ,10,8.0318,0.00
HKD,10,8.0375,0.00
MOP,10,8.4457,0.00
SBD,10,8.5955,0.00
SVC,10,9.1508,0.00
NOK,10,9.2003,0.00
SEK,10,9.9169,0.00
MAD,10,10.0478,0.00
BWP,10,11.5735,0.00
ZMW,10,13.7107,0.00
SCR,10,14.2915,0.00
ZAR,10,15.6232,0.00
SZL,10,15.8959,0.00
MVR,10,16.2071,0.00
EGP,10,17.3237,0.00
MDL,10,18.5378,0.00
MXN,10,20.6079,0.00
CZK,10,24.3162,0.00
HNL,10,25.6409,0.00
ETB,10,30.5998,0.00
THB,10,32.1909,0.00
TWD,10,32.7759,0.00
NIO,10,35.0609,0.00
MUR,10,37.8466,0.00
UYU,10,38.2970,0.00
GMD,10,52.3848,0.00
DOP,10,53.5035,0.00
PHP,10,54.7220,0.00
ARS,10,57.6284,0.00
RUB,100,68.9910,0.00
KGS,100,72.9719,0.00
INR,100,75.1574,0.00
BDT,100,88.3973,0.00
HTG,100,99.7188,0.00
CVE,100,104.0696,0.00
JPY,100,109.0715,0.00
RSD,100,111.2728,0.00
XPF,100,112.6841,0.00
ALL,100,114.2211,0.00
NPR,100,119.8304,0.00
VUV,100,122.9645,0.00
DZD,100,125.4284,0.00
ISK,100,130.6665,0.00
JMD,100,141.3102,0.00
PKR,100,167.3736,0.00
DJF,100,185.8061,0.00
LKR,100,187.6628,0.00
GYD,100,218.7971,0.00
YER,100,261.7410,0.00
HUF,100,309.4482,0.00
MRO,100,373.2436,0.00
KMF,100,459.6541,0.00
AMD,100,497.5641,0.00
CRC,100,591.1205,0.00
SOS,1000,606.3902,0.00
XOF,1000,619.7828,0.00
XAF,1000,619.7832,0.00
CLP,1000,746.5919,0.00
MWK,1000,762.0336,0.00
RWF,1000,960.9034,0.00
KRW,1000,1263.5327,0.00
LBP,1000,1581.9985,0.00
TZS,1000,2403.1818,0.00
MNT,1000,2790.4739,0.00
COP,1000,3529.6080,0.00
UGX,1000,3858.9933,0.00
KHR,1000,4268.9871,0.00
PYG,1000,6436.0977,0.00
LAK,1000,9122.6118,0.00
GNF,1000,9601.5615,0.00
SLL,1000,9723.1500,0.00
UZS,1000,9845.8891,0.00
IDR,1000,14884.6267,0.00
STD,1000,22541.8060,0.00
VND,1000,24260.8275,0.00
